,name,category,price,availability,href
0,2nd HDD/SSD SATA-III Caddy for Universal CD/DVD-ROM (Slim Version),Peripherals / Misc > HDD | SSD Enclosure,Rs.450,In Stock,/peripherals-misc-hdd-ssd-enclosure-2nd-hdd-ssd-sata-iii-caddy-for-universal-cd-dvd-rom-slim-version-pakistan-p.6808.aspx
1,A4tech AP-20S Mousepad,Peripherals / Misc > Mouse Pads | Wrist Rests,Rs.590,In Stock,/peripherals-misc-mouse-pads-wrist-rests-a4tech-ap-20s-mousepad-pakistan-p.13525.aspx
2,Onten 9130T USB-C To USB 3.0 OTG Adapter,Peripherals / Misc > Adapters | Converters | USB HUB | Chargers,Rs.650,Out of Stock,/peripherals-misc-adapters-converters-usb-hub-chargers-onten-9130t-usb-c-to-usb-3-0-otg-adapter-pakistan-p.13900.aspx
3,A4Tech FP20 Mousepad - Fstyler - Roll-up Fabric,Peripherals / Misc > Mouse Pads | Wrist Rests,Rs.750,In Stock,/peripherals-misc-mouse-pads-wrist-rests-a4tech-fp20-mousepad-fstyler-roll-up-fabric-pakistan-p.12800.aspx
4,Anker PowerLine 3ft Micro USB Cable A8132H12 (Black),Peripherals / Misc > Cables,Rs.870,In Stock,/peripherals-misc-cables-anker-powerline-3ft-micro-usb-cable-a8132h12-black-pakistan-p.8950.aspx
5,Logitech B100 Optical USB Mouse,Mouse > Logitech,Rs.880,In Stock,/mouse-logitech-logitech-b100-optical-usb-mouse-pakistan-p.1117.aspx
6,Epson 103 EcoTank Black Ink Bottle 65ml for Printer Bulk,Cartridges & Toners > Ink Bottle,Rs.900,In Stock,/cartridges-toners-ink-bottle-epson-103-ecotank-black-ink-bottle-65ml-for-printer-bulk-pakistan-p.15576.aspx
7,Hoco U93 1.2m 2.4A USB to Lightning Data Charging Cable | Red Black,Peripherals / Misc > Cables,Rs.900,In Stock,/peripherals-misc-cables-hoco-u93-1-2m-2-4a-usb-to-lightning-data-charging-cable-red-black-pakistan-p.14931.aspx
8,D-Link CAT6 Networking Cable UTP Patch Cord 3m - NCB-C6UGRYR1-3,Network Products > Patch Cords,Rs.950,In Stock,/network-products-patch-cords-d-link-cat6-networking-cable-utp-patch-cord-3m-ncb-c6ugryr1-3-pakistan-p.5443.aspx
9,A4Tech OP-330S Wired USB Mouse,Mouse > A4 Tech Mouse,Rs.970,In Stock,/mouse-a4-tech-mouse-a4tech-op-330s-wired-usb-mouse-pakistan-p.12947.aspx
