,name,categories,price,href
0,Boost Squirrel PC Case Fan,"Cooling Solutions, Fans","₨1,000",https://xtremehardware.pk/product/boost-squirrel-pc-case-fan/
1,ID-COOLING FROST X05 3G Thermal Paste,Cooling Solutions,"₨1,000",https://xtremehardware.pk/product/id-cooling-frost-x05-3g-thermal-paste/
2,ID-Cooling FS-04 PWM Fan Splitter Cable,Cables,"₨1,000",https://xtremehardware.pk/product/id-cooling-fs-04-pwm-fan-splitter-cable/
3,ID-Cooling FS-06 5V 3Pin ARGB Splitter Cable,Cables,"₨1,200",https://xtremehardware.pk/product/id-cooling-fs-06-5v-3pin-argb-splitter-cable/
4,ID-COOLING Frost X25 2G Ultra High Thermal,Cooling Solutions,"₨1,350",https://xtremehardware.pk/product/id-cooling-frost-x25-2g-ultra-high-thermal/
5,ID-COOLING FROST X05 5G Thermal Paste,Cooling Solutions,"₨1,500",https://xtremehardware.pk/product/id-cooling-frost-x05-5g-thermal-paste/
6,ID-COOLING Frost X25 4G Ultra High Thermal,Cooling Solutions,"₨2,000",https://xtremehardware.pk/product/id-cooling-frost-x25-4g-ultra-high-thermal/
7,ID-COOLING MP-8040 Gaming Mouse Pad,Mouse Pad,"₨2,000",https://xtremehardware.pk/product/id-cooling-mp-8040-gaming-mouse-pad/
8,ID-COOLING HA-02 Fun Hub,Fans,"₨3,250",https://xtremehardware.pk/product/id-cooling-ha-02-fun-hub/
9,Intel® Core™ i5-3470 Processor,Processors,"₨4,500",https://xtremehardware.pk/product/intel-core-i5-3470-processor/
10,SILVERSTONE IMF70 ARGB,Cooling Solutions,"₨5,152",https://xtremehardware.pk/product/silverstone-imf70-argb/
11,ID-COOLING SE 214 XT ARGB BLACK,Cooling Solutions,"₨7,000",https://xtremehardware.pk/product/id-cooling-se-214-xt-argb-black/
12,ID-COOLING SE 214 XT ARGB WHITE,Cooling Solutions,"₨7,500",https://xtremehardware.pk/product/id-cooling-se-214-xt-argb-white/
13,DeepCool AG400 ARGB Black,Cooling Solutions,"₨7,700",https://xtremehardware.pk/product/deepcool-ag400-argb-black/
14,DeepCool AG400 PLUS,Cooling Solutions,"₨7,700",https://xtremehardware.pk/product/deepcool-ag400-plus/
15,SILVERSTONE AR12 TUF,Cooling Solutions,"₨7,840",https://xtremehardware.pk/product/silverstone-ar12-tuf-2/
16,DeepCool AG400 ARGB White,Cooling Solutions,"₨8,500",https://xtremehardware.pk/product/deepcool-ag400-argb-white/
17,DeepCool AK400 White,Cooling Solutions,"₨8,500",https://xtremehardware.pk/product/deepcool-ak400-white/
18,BOOST WOLF GAMING CASE WITHOUT FAN,Casing,"₨8,700",https://xtremehardware.pk/product/boost-wolf-gaming-case-without-fan/
19,Ease EB550 550W 80 Plus Bronze Power Supply,Power Supply,"₨8,999",https://xtremehardware.pk/product/ease-eb550-550w-80-plus-bronze-power-supply/
20,ID-COOLING SE 224 XTS ARGB WHITE,Cooling Solutions,"₨9,000",https://xtremehardware.pk/product/id-cooling-se-224-xts-argb-white/
21,ID-COOLING XF 12025 ARGB TRIO 120mm 3 Pack Fans,"Cooling Solutions, Fans","₨9,000",https://xtremehardware.pk/product/id-cooling-xf-12025-argb-trio-120mm-3-pack-fans/
22,BOOST TITAN 650W PSU,Power Supply,"₨9,499",https://xtremehardware.pk/product/boost-titan-650w-psu/
23,DeepCool AK400 ZERO DARK PLUS,Cooling Solutions,"₨9,500",https://xtremehardware.pk/product/deepcool-ak400-zero-dark-plus/
24,ID-COOLING TF 12025 ARGB TRIO Black 3 Fan Pack,"Cooling Solutions, Fans","₨10,500",https://xtremehardware.pk/product/id-cooling-tf-12025-argb-trio-black-3-fan-pack/
25,BOOST CHEETAH PRO BLACK,Casing,"₨10,999",https://xtremehardware.pk/product/boost-cheetah-pro-black/
26,BOOST JAGUAR BLACK,Casing,"₨10,999",https://xtremehardware.pk/product/boost-jaguar-black/
27,ID-COOLING TF 12025 ARGB TRIO Snow 3 Fan Pack,"Cooling Solutions, Fans","₨11,000",https://xtremehardware.pk/product/id-cooling-tf-12025-argb-trio-snow-3-fan-pack/
28,DeepCool AK400 Digital Black,Cooling Solutions,"₨11,000",https://xtremehardware.pk/product/deepcool-ak400-digital-black/
29,DeepCool AK400 Digital White,Cooling Solutions,"₨11,300",https://xtremehardware.pk/product/deepcool-ak400-digital-white/
30,Aerocool Trinity Mini,Casing,"₨11,499",https://xtremehardware.pk/product/aerocool-trinity-mini/
31,BOOST CHEETAH PRO WHITE,Casing,"₨11,999",https://xtremehardware.pk/product/boost-cheetah-pro-white/
32,BOOST JAGUAR WHITE,Casing,"₨11,999",https://xtremehardware.pk/product/boost-jaguar-white/
33,AMD Ryzen 3 2200G Processor,Processors,"₨12,000",https://xtremehardware.pk/product/amd-ryzen-3-2200g-processor/
34,EASE EOC250W Case with PSU,Casing,"₨12,000",https://xtremehardware.pk/product/ease-eoc250w-case-with-psu/
35,SILVERSTONE ARGON V140 ARGB,Cooling Solutions,"₨12,320",https://xtremehardware.pk/product/silverstone-argon-v140-argb/
36,Deepcool AG400 DIGITAL PLUS ARGB,Cooling Solutions,"₨12,800",https://xtremehardware.pk/product/deepcool-ag400-digital-plus-argb/
37,Boost Peacock Gaming Case Black,Casing,"₨13,000",https://xtremehardware.pk/product/boost-peacock-with-stylish-pen-gaming-case-black/
38,SILVERSTONE ST50F ES230 V2.1,Power Supply,"₨13,440",https://xtremehardware.pk/product/silverstone-st50f-es230-v2-1/
39,ID-COOLING SE 226 XT ARGB Black,Cooling Solutions,"₨13,500",https://xtremehardware.pk/product/id-cooling-se-226-xt-argb-black/
40,ID-COOLING SE 226 XT Snow White,Cooling Solutions,"₨14,000",https://xtremehardware.pk/product/id-cooling-se-226-xt-snow-white/
41,BOOST ZEUS 650W PSU,Power Supply,"₨14,499",https://xtremehardware.pk/product/boost-zeus-650w-psu/
42,ID-COOLING SE 206 XT,Cooling Solutions,"₨14,500",https://xtremehardware.pk/product/id-cooling-se-206-xt/
